Primary_Organization,Participant_Name,Subordinate_Organization,Type,Sub_Type,Participant_ID,Request_for_Information,Information_Delivery,Requests_for_Notification_of_ADT_Events,City,County_Name,Geo_Point
Hoag Memorial Hospital Presbyterian,Hoag Memorial Hospital Presbyterian,none identified,Acute Care Settings,General acute care hospital,DXF004007,eHealth Exchange,eHealth Exchange,SELF,Newport Beach,Orange,"33.62365, -117.93046"
ST. MARY'S CENTER,St. Mary's Center,none identified,Community-Based Organizations,Other community-based service provider,DXF004008,NONE SELECTED,NONE SELECTED,NONE SELECTED,Oakland,,
Heritage Provider Network,Heritage Provider Network,Desert Oasis Healthcare,Ambulatory Care Settings,Independent practice associations,DXF004009,Manifest MedEx,Manifest MedEx,Manifest MedEx,Palm Springs,Riverside,"33.86055, -116.56152"
Heritage Provider Network,Heritage Provider Network,Heritage Sierra Medical Group,Ambulatory Care Settings,Independent practice associations,DXF004009,Manifest MedEx,Manifest MedEx,Manifest MedEx,Lancaster,Los Angeles,"34.71564, -118.1512"
Heritage Provider Network,Heritage Provider Network,High Desert Medical Group,Ambulatory Care Settings,Independent practice associations,DXF004009,Manifest MedEx,Manifest MedEx,Manifest MedEx,Lancaster,Los Angeles,"34.71564, -118.1512"
Heritage Provider Network,Heritage Provider Network,Heritage Victor Valley Medical Group,Ambulatory Care Settings,Independent practice associations,DXF004009,Manifest MedEx,Manifest MedEx,Manifest MedEx,victorville,San Bernardino,"34.50159, -117.29441"
Heritage Provider Network,Heritage Provider Network,Coastal Communities Physician Network,Ambulatory Care Settings,Independent practice associations,DXF004009,Manifest MedEx,Manifest MedEx,Manifest MedEx,San Luis Obispo,San Luis Obispo,"35.24175, -120.61711"
Heritage Provider Network,Heritage Provider Network,Regal Medical Group,Ambulatory Care Settings,Independent practice associations,DXF004009,Manifest MedEx,Manifest MedEx,Manifest MedEx,Northridge,Los Angeles,"34.23602, -118.51759"
Heritage Provider Network,Heritage Provider Network,Affiliated Doctors of Orange County,Ambulatory Care Settings,Independent practice associations,DXF004009,Manifest MedEx,Manifest MedEx,Manifest MedEx,Northridge,Los Angeles,"34.23602, -118.51759"
Heritage Provider Network,Heritage Provider Network,Lakeside Medical Group,Ambulatory Care Settings,Independent practice associations,DXF004009,Manifest MedEx,Manifest MedEx,Manifest MedEx,Northridge,Los Angeles,"34.23602, -118.51759"
Heritage Provider Network,Heritage Provider Network,Bakersfield Family Medical Center,Ambulatory Care Settings,Independent practice associations,DXF004009,Manifest MedEx,Manifest MedEx,Manifest MedEx,Bakersfield,Kern,"35.3436, -119.06633"
Anaheim Community Hospital,Anaheim Community Hospital,none identified,Acute Care Settings,General acute care hospital,DXF004010,NONE SELECTED,NONE SELECTED,NONE SELECTED,Anaheim,Orange,"33.81826, -117.97506"
Roots Food Group,Roots Food Group,none identified,Community-Based Organizations,Other community-based service provider,DXF004011,NONE SELECTED,NONE SELECTED,NONE SELECTED,Dallas,Dallas,"32.78676, -96.82139"
Guidant Health Plan,Guidant Health Plan,none identified,Plans,Health care service plans and disability insurer,DXF004012,NONE SELECTED,NONE SELECTED,NONE SELECTED,Murrieta,Riverside,"33.57996, -117.14579"
Ambry Genetics Corporation,Ambry Genetics Corporation,none identified,Ancillary Care,Clinical laboratory,DXF004015,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
Pediatric Care Physicians,Pediatric Care Physicians,none identified,Acute Care Settings,Other acute care setting,DXF004016,NONE SELECTED,NONE SELECTED,NONE SELECTED,Encino,Los Angeles,"34.16039, -118.51669"
Desert Oasis Healthcare,Desert Oasis Healthcare,none identified,Ambulatory Care Settings,Medical group,DXF004023,Manifest MedEx,Manifest MedEx,Manifest MedEx,Palm Springs,Riverside,"33.86055, -116.56152"
ACES 2020 LLC,ACES 2020 LLC,none identified,Community-Based Organizations,Other community-based service provider,DXF004028,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,,
Victor Valley Global Medical Center,Victor Valley Global Medical Center,Victor Valley Global Medical Center Hospital Laboratory,Acute Care Settings,General acute care hospital,DXF004029,NONE SELECTED,NONE SELECTED,NONE SELECTED,victorville,San Bernardino,"34.50159, -117.29441"
BELLFLOWER POST ACUTE,BELLFLOWER POST ACUTE,none identified,not selected,not selected,DXF004032,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bellflower,Los Angeles,"33.88802, -118.12706"
My 1st Clinic,My 1st Clinic,none identified,Ambulatory Care Settings,Physician practice,DXF004033,NONE SELECTED,NONE SELECTED,NONE SELECTED,Beverly Hills,Los Angeles,"34.06502, -118.38304"
South Coast Global Medical Center,South Coast Global Medical Center,South Coast Global Medical Center Subacute Unit,Acute Care Settings,Other acute care setting,DXF004035,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Ana,Orange,"33.72052, -117.90808"
South Coast Global Medical Center,South Coast Global Medical Center,South Coast Global Medical Center Lab,Acute Care Settings,General acute care hospital,DXF004035,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Ana,Orange,"33.72052, -117.90808"
La Palma Nursing Center,La Palma Nursing Center,none identified,Subacute Care Facility,Skilled nursing facility,DXF004038,NONE SELECTED,NONE SELECTED,NONE SELECTED,Anaheim,Orange,"33.84444, -117.95222"
Casa Colina Hospital and Centers for Healthcare,Casa Colina Hospital and Centers for Healthcare,none identified,Acute Care Settings,General acute care hospital,DXF004043,NONE SELECTED,NONE SELECTED,NONE SELECTED,Pomona,Los Angeles,"34.08145, -117.73845"
"Department of Developmental Services, State of California","Department of Developmental Services, State of California",Porterville Developmental Center,Acute Care Settings,General acute care hospital,DXF004044,NONE SELECTED,NONE SELECTED,NONE SELECTED,Porterville,Tulare,"35.98376, -118.87178"
"Department of Developmental Services, State of California","Department of Developmental Services, State of California","Department of Developmental Services, State of California",Community-Based Organizations,Other community-based service provider,DXF004044,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.58045, -121.49498"
Crisis Support Services of Alameda County,Crisis Support Services of Alameda County,none identified,Community-Based Organizations,Other community-based service provider,DXF004045,NONE SELECTED,NONE SELECTED,NONE SELECTED,Oakland,Alameda,"37.83434, -122.26433"
Fresno-Madera Area Agency on Aging,Fresno-Madera Area Agency on Aging,none identified,Community-Based Organizations,Other community-based service provider,DXF004046,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fresno,Fresno,"36.83459, -119.83117"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Leandro,Alameda,"37.71543, -122.16628"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Antonio,Bexar,"29.55554, -98.36173"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Seattle,King,"47.61151, -122.29184"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Walnut Creek,Contra Costa,"37.9011, -122.00047"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Itasca,DuPage,"41.97306, -88.02155"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Mount Vernon,Skagit,"48.35934, -122.14555"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,National Genetics Institute,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.03702, -118.42492"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Vallejo,Solano,"38.12332, -122.19528"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Labcorp of America Holdings,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Cary,Wake,"35.80708, -78.88695"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Inc,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Englewood,Arapahoe,"39.57258, -104.8574"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Center for Disease Detection LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Antonio,Bexar,"29.55554, -98.36173"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,RTP,Durham,"35.92576, -78.83553"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.03702, -118.42492"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratory,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,New york,New York,"40.7657, -73.98706"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Personal Genome Diagnostics Inc,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Baltimore,Baltimore,"39.28184, -76.54131"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Medical Neurogenetic LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Atlanta,Fulton,"33.88204, -84.37464"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Spokane,Spokane,"47.6291, -117.40327"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Medtox Laboratories Inc,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Saint Paul,Ramsey,"45.07658, -93.18893"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Litholink Corporation,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Itasca,DuPage,"41.97306, -88.02155"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Inc,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Calabasas Hills,Los Angeles,"34.12274, -118.7572"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Aurora,Arapahoe,"39.59971, -104.70728"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,ViroMed Laboratories Inc,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Burlington,Alamance,"36.03178, -79.48892"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.99937, -117.07178"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.03939, -118.26645"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.97099, -117.32489"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.99937, -117.07178"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC Westborough,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Westborough,,
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC Santa Fe,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Fe,Santa Fe,"35.62193, -105.86873"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Medtox Laboratories Inc,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Saint Paul,Ramsey,"45.07658, -93.18893"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,RTP,Durham,"35.92576, -78.83553"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Monogram Biosciences Inc,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,SOUTH SAN FRANCISCO,San Mateo,"37.65554, -122.42212"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Accupath Diagnostic Laboratories Inc,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Phoenix,Maricopa,"33.40613, -112.02657"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Labcorp of America Holdings,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Cary,Wake,"35.80708, -78.88695"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Burlington,Alamance,"36.03178, -79.48892"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Dianon Systems Inc,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Shelton,,
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,RTP,Durham,"35.92576, -78.83553"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Dianon Systems Inc Oklahoma City,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Oklahoma City,Oklahoma,"35.47528, -97.50387"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC Santa Fe,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Fe,Santa Fe,"35.62193, -105.86873"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Shelton,,
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.20164, -118.66216"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Tustin,Orange,"33.73402, -117.81916"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Monrovia,Los Angeles,"34.15209, -118.0007"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Newport Coast,Orange,"33.59561, -117.83209"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Accupath Diagnostic Laboratories Inc,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Brentwood,Williamson,"35.99939, -86.78396"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,National Genetics Institute,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.03702, -118.42492"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Monogram Biosciences Inc,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,SOUTH SAN FRANCISCO,San Mateo,"37.65554, -122.42212"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Phoenix,Maricopa,"33.40613, -112.02657"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Spokane,Spokane,"47.64564, -117.42712"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Sequenom Ctr for Molecular Medicine,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.89918, -117.20233"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004047,NONE SELECTED,NONE SELECTED,NONE SELECTED,Chapel Hill,,
"Mid-Peninsula Ophthalmology Medical Group, Inc.","Mid-Peninsula Ophthalmology Medical Group, Inc.",none identified,Ambulatory Care Settings,Physician practice,DXF004054,NONE SELECTED,NONE SELECTED,NONE SELECTED,Menlo PArk,San Mateo,"37.46321, -122.17249"
ASPL,ASPL,none identified,Subacute Care Facility,Other long term care facility,DXF004055,NONE SELECTED,NONE SELECTED,NONE SELECTED,New york,New York,"40.74187, -74.00052"
KPC Global Medical Centers Inc,KPC Global Medical Centers Inc,Hemet Global Medical Center,Acute Care Settings,General acute care hospital,DXF004056,NONE SELECTED,NONE SELECTED,NONE SELECTED,Hemet,Riverside,"33.69821, -116.97686"
KPC Global Medical Centers Inc,KPC Global Medical Centers Inc,Hemet Valley HealthCare Center,Subacute Care Facility,Skilled nursing facility,DXF004056,NONE SELECTED,NONE SELECTED,NONE SELECTED,Hemet,Riverside,"33.69821, -116.97686"
KPC Global Medical Centers Inc,KPC Global Medical Centers Inc,Hemet Global Medical Center- Sub acute unit,Acute Care Settings,Other acute care setting,DXF004056,NONE SELECTED,NONE SELECTED,NONE SELECTED,Hemet,Riverside,"33.69821, -116.97686"
KPC Global Medical Centers Inc,KPC Global Medical Centers Inc,Hemet Global Medical Center Hospital Laboratory,Acute Care Settings,Other acute care setting,DXF004056,NONE SELECTED,NONE SELECTED,NONE SELECTED,Hemet,Riverside,"33.69821, -116.97686"
KPC Global Medical Centers Inc,KPC Global Medical Centers Inc,Menifee Global Medical Center,Acute Care Settings,General acute care hospital,DXF004056,NONE SELECTED,NONE SELECTED,NONE SELECTED,"Menifee,",Riverside,"33.74669, -117.17214"
KPC Global Medical Centers Inc,KPC Global Medical Centers Inc,Menifee Global Medical Center Hospital Laborartory,Acute Care Settings,Other acute care setting,DXF004056,NONE SELECTED,NONE SELECTED,NONE SELECTED,"Menifee,",Riverside,"33.74669, -117.17214"
KPC Global Medical Centers Inc,KPC Global Medical Centers Inc,Hemet Valley Recovery Center & Sage Retreat,Acute Care Settings,Other acute care setting,DXF004056,NONE SELECTED,NONE SELECTED,NONE SELECTED,Hemet,Riverside,"33.69821, -116.97686"
Valencia Pediatrics Associates,Valencia Pediatrics Associates,none identified,Plans,Other plan,DXF004057,NONE SELECTED,NONE SELECTED,NONE SELECTED,Valencia,Los Angeles,"34.42467, -118.58925"
"SALTZMAN, TANIS, PITTELL, LEVIN & JACOBSON, LLC (d/b/a PEDIATRIC ASSOCIATES)","SALTZMAN, TANIS, PITTELL, LEVIN & JACOBSON, LLC (d/b/a PEDIATRIC ASSOCIATES)","Coastal Kids, A Professional Medical Corporation",Ambulatory Care Settings,Physician practice,DXF004058,NONE SELECTED,NONE SELECTED,NONE SELECTED,Laguna Hills,Orange,"33.59159, -117.69847"
"SALTZMAN, TANIS, PITTELL, LEVIN & JACOBSON, LLC (d/b/a PEDIATRIC ASSOCIATES)","SALTZMAN, TANIS, PITTELL, LEVIN & JACOBSON, LLC (d/b/a PEDIATRIC ASSOCIATES)",Valle Verde Pediatrics,Ambulatory Care Settings,Physician practice,DXF004058,NONE SELECTED,NONE SELECTED,NONE SELECTED,Poway,San Diego,"32.98408, -117.01932"
"SALTZMAN, TANIS, PITTELL, LEVIN & JACOBSON, LLC (d/b/a PEDIATRIC ASSOCIATES)","SALTZMAN, TANIS, PITTELL, LEVIN & JACOBSON, LLC (d/b/a PEDIATRIC ASSOCIATES)",Pediatric Medical Associates of Sacramento Inc.,Ambulatory Care Settings,Physician practice,DXF004058,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.59036, -121.40641"
Christopher Chen M.D. Inc,Christopher Chen M.D. Inc,none identified,Ambulatory Care Settings,Physician practice,DXF004069,NONE SELECTED,NONE SELECTED,NONE SELECTED,Pleasanton,Alameda,"37.64912, -121.8591"
Asian Americans for Community Involvement of Santa Clara County Inc.,Asian Americans for Community Involvement of Santa Clara County Inc.,none identified,Community-Based Organizations,Continuum of Care organization (CoC),DXF004071,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Jose,Santa Clara,"37.18235, -121.84392"
"Anesthesia Specialists of Orange County, Inc","Anesthesia Specialists of Orange County, Inc",none identified,Acute Care Settings,General acute care hospital,DXF004072,NONE SELECTED,NONE SELECTED,NONE SELECTED,Anaheim,Orange,"33.84444, -117.95222"
Lori R Krieger MD INC,Lori R Krieger MD INC,none identified,Ambulatory Care Settings,Physician practice,DXF004074,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Pedro,Los Angeles,"33.74507, -118.31012"
Chapman Global Medical Center,Chapman Global Medical Center,Chapman Global Medical Center,Ancillary Care,Clinical laboratory,DXF004080,NONE SELECTED,NONE SELECTED,NONE SELECTED,Orange,Orange,"33.796, -117.78665"
Chapman Global Medical Center,Chapman Global Medical Center,Chapman Global Medical Center,Subacute Care Facility,Skilled nursing facility,DXF004080,NONE SELECTED,NONE SELECTED,NONE SELECTED,Orange,Orange,"33.796, -117.78665"
Chapman Global Medical Center,Chapman Global Medical Center,Chapman Global Medical Center,Subacute Care Facility,Skilled nursing facility,DXF004081,NONE SELECTED,NONE SELECTED,NONE SELECTED,Orange,Orange,"33.796, -117.78665"
Chapman Global Medical Center,Chapman Global Medical Center,Chapman Global Medical Center,Ancillary Care,Clinical laboratory,DXF004081,NONE SELECTED,NONE SELECTED,NONE SELECTED,Orange,Orange,"33.796, -117.78665"
Premier Pediatrics,Premier Pediatrics,none identified,Community-Based Organizations,Other community-based service provider,DXF004083,NONE SELECTED,NONE SELECTED,NONE SELECTED,Mission Hills,Los Angeles,"34.26594, -118.45945"
"Apollo Medical Holdings, Inc.","Apollo Medical Holdings, Inc.",none identified,Ambulatory Care Settings,Independent practice associations,DXF004084,NONE SELECTED,NONE SELECTED,NONE SELECTED,Alhambra,Los Angeles,"34.09073, -118.12757"
Providence Health,Providence Health,none identified,Ambulatory Care Settings,Medical group,DXF004085,NONE SELECTED,NONE SELECTED,NONE SELECTED,Irvine,Orange,"33.66077, -117.82642"
STAR of CA LLC,STAR of CA LLC,none identified,Counties,Behavioral health provider,DXF004090,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
Calabasas Pediatrics,Calabasas Pediatrics,none identified,Acute Care Settings,Other acute care setting,DXF004091,NONE SELECTED,NONE SELECTED,NONE SELECTED,Calabasas,Los Angeles,"34.12426, -118.6701"
Accumen TMS Center,Accumen TMS Center,none identified,Ambulatory Care Settings,Mental health clinic,DXF004092,NONE SELECTED,NONE SELECTED,NONE SELECTED,Downey,Los Angeles,"33.92213, -118.14148"
Physicians and Surgeons Home Care Inc,Physicians and Surgeons Home Care Inc,none identified,Ambulatory Care Settings,Physician practice,DXF004094,NONE SELECTED,NONE SELECTED,NONE SELECTED,Downey,Los Angeles,"33.92213, -118.14148"
SARA HAMIDI MD. INC.,SARA HAMIDI MD. INC.,none identified,Ambulatory Care Settings,Physician practice,DXF004095,NONE SELECTED,NONE SELECTED,NONE SELECTED,turlock,Stanislaus,"37.5284, -120.85304"
Reliable Medical Associates,Reliable Medical Associates,none identified,Ambulatory Care Settings,not selected,DXF004096,NONE SELECTED,NONE SELECTED,NONE SELECTED,Beverly Hills,Los Angeles,"34.06502, -118.38304"
San Marino Pediatric Associates,San Marino Pediatric Associates,none identified,Ambulatory Care Settings,Physician practice,DXF004097,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Marino,Los Angeles,"34.12234, -118.11341"
Jeffrey R Polito MD A Professional Corporation,Jeffrey R Polito MD A Professional Corporation,none identified,Ambulatory Care Settings,Physician practice,DXF004098,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Barbara,Santa Barbara,"34.44987, -119.80353"
"Sam Kim Physician Services, Inc.","Sam Kim Physician Services, Inc.",none identified,Ambulatory Care Settings,Physician practice,DXF004100,NONE SELECTED,NONE SELECTED,NONE SELECTED,Beverly Hills,Los Angeles,"34.06502, -118.38304"
"Chaitanya N. Mahida, MD Inc","Chaitanya N. Mahida, MD Inc",none identified,Ambulatory Care Settings,Physician practice,DXF004102,NONE SELECTED,NONE SELECTED,NONE SELECTED,Oakdale,Stanislaus,"37.78647, -120.75712"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Seattle,King,"47.61151, -122.29184"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Walnut Creek,Contra Costa,"37.9011, -122.00047"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Mount Vernon,Skagit,"48.35934, -122.14555"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Itasca,DuPage,"41.97306, -88.02155"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Antonio,Bexar,"29.55554, -98.36173"
