Primary_Organization,Subordinate_Organization,Type,Sub_Type,City,County,ZIP
James J. Wu Medical Corporation DBA SoCal Pediatrics,none identified,Ambulatory Care Settings,Physician practice,Pomona,#N/A,91767
"James L. Kay, D.O., P.C.",none identified,Ambulatory Care Settings,Medical group,Lake Forest,#N/A,92630
James Robert Miller,none identified,Community-Based Organizations,Other community-based service provider,Tracy,#N/A,95376
jane w chien md inc,none identified,Ambulatory Care Settings,Physician practice,Los Gatos,#N/A,95032
Jared Salvo DO A Professional Corporation,none identified,Ambulatory Care Settings,Physician practice,Bakersfield,#N/A,93390
Jason D Toranto MD Inc,none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92123
Jayakar Medical Group,none identified,Ambulatory Care Settings,Physician practice,Mountain View,#N/A,94040
"JAYASHREE JOSHI, M.D. A PROF. CORP",none identified,Ambulatory Care Settings,Physician practice,MILPITAS,#N/A,95035
Jayme Harris,Rolando A. Atiga M.D A Professional Corp,Ambulatory Care Settings,not selected,Sun City,#N/A,92586
"Jeffrey A. Klein, MD, Inc.",none identified,Ambulatory Care Settings,Physician practice,San Juan Capistrano,#N/A,92675
"JEFFREY K FEINFIELD, MD",none identified,Emergency Medical Service Providers,not selected,Thousand Oaks,#N/A,91360
JEFFREY KLEIS DPM INC,none identified,Ambulatory Care Settings,Physician practice,Costa Mesa,#N/A,92626
Jeffrey L Mansoor MD INC,none identified,Ambulatory Care Settings,Physician practice,Stockton,#N/A,95267
"Jeffrey M. Bloom, M.D., Inc.",none identified,Ambulatory Care Settings,Physician practice,San Luis Obispo,#N/A,93401
Jeffrey R Polito MD A Professional Corporation,none identified,Ambulatory Care Settings,Physician practice,Santa Barbara,#N/A,93111
Jeffrey S Sager MD Medical Corporation,none identified,Ambulatory Care Settings,Physician practice,Santa Barbara,#N/A,93105
Jeffrey W Grolig MD INC,none identified,Ambulatory Care Settings,Physician practice,Red Bluff,#N/A,96080
Jennifer Sebastian,Pacific Neuropsychiatric Specialists,Community-Based Organizations,Other community-based service provider,Costa Mesa,#N/A,92626
Jennifer Y. Kim MD Inc,none identified,Ambulatory Care Settings,Physician practice,Upland,#N/A,91786
Jeoffrey P Benson MD Inc,none identified,Ambulatory Care Settings,Physician practice,Santa Barbara,#N/A,93130-0733
"Jerome Potozkin,MD A Professional Corporation",none identified,Ambulatory Care Settings,Physician practice,Danville,#N/A,94526
"Jerry Soung, MD",none identified,Ambulatory Care Settings,Physician practice,Stockton,#N/A,95204
Jervis Yau MD Inc,none identified,not selected,not selected,Santa Barbara,#N/A,93105
Jewish Community Free Clinic,none identified,Ambulatory Care Settings,Community clinic or free clinic,Santa Rosa,#N/A,95404
JFK Memorial Hospital,none identified,Acute Care Settings,General acute care hospital,Indio,#N/A,92201
Jigar Ghelani M.D. Professional Corp,none identified,Ambulatory Care Settings,Physician practice,Thousand Oaks,#N/A,91360
"Joanne E. Reid, M.D., Inc",none identified,Ambulatory Care Settings,Rural health center (RHC),Willows,#N/A,95988
JOEL DE LA MERCED,none identified,Ambulatory Care Settings,Physician practice,Chino Hills,#N/A,91709-____
"John A. Grimaldi, D.O., Inc.",none identified,Ambulatory Care Settings,Physician practice,Chula Vista,#N/A,91910
John C Fremont Hospital,none identified,Acute Care Settings,General acute care hospital,Mariposa,#N/A,95338
John E Bokosky MD FACS,none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92103
John F Cook Jr MD,none identified,Ambulatory Care Settings,not selected,Newport Beach,#N/A,92660
John J Kowalczyk DO Inc,none identified,Ambulatory Care Settings,Physician practice,Los Angeles,#N/A,90017
John M. Sawyer,none identified,Ambulatory Care Settings,not selected,Lompoc,#N/A,93436-6903
John Muir Health System,John Muir Medical Center - Walnut Creek Campus,Acute Care Settings,General acute care hospital,Walnut Creek,#N/A,94597
John Muir Health System,John Muir Medical Center - Concord Campus,Acute Care Settings,General acute care hospital,Walnut Creek,#N/A,94597
John Muir Health System,John Muir Behavioral Health Center,Acute Care Settings,Psychiatric hospital,Walnut Creek,#N/A,94597
John Muir Health System,John Muir Physician Network,Ambulatory Care Settings,Medical group,Walnut Creek,#N/A,94597
John Muir Health System,John Muir Health - Walnut Creek Medical Center – Clinical Lab,Ancillary Care,Clinical laboratory,Walnut Creek,#N/A,94597
John Muir Health System,John Muir Health – Concord Medical Center – Clinical Lab,Ancillary Care,Clinical laboratory,Walnut Creek,#N/A,94597
John Qian MD Inc dba Sage Pain & Wellness Institute,none identified,Intermediaries,Other intermediary,San Diego,#N/A,92123
John R Glyer D Mills Matheson & Margaret Arner MDS PTR,none identified,Ambulatory Care Settings,Rural health center (RHC),Willits,#N/A,95490
Jon Ferguson DO CORP,none identified,Ambulatory Care Settings,Physician practice,Chico,#N/A,95973
"Joseph A Mele, III, MD, Inc",none identified,Ambulatory Care Settings,Physician practice,Walnut Cree,#N/A,94598
Joseph Bettencourt MD Inc.,none identified,Ambulatory Care Settings,Physician practice,Paso Robles,#N/A,93446
"Joseph Greenberg, M.D., Ltd. A Medical Corporation",none identified,Ambulatory Care Settings,Physician practice,San Rafael,#N/A,94903
Jothi Murali MD Inc.,none identified,Ambulatory Care Settings,Physician practice,Campbell,#N/A,95008
Journey Health,Journey Health Medical Group of California,Ambulatory Care Settings,Medical group,Oakland,#N/A,94612-2414
"Juan C. Carrillo M.D., A professional Corporation",none identified,Ambulatory Care Settings,Physician practice,San Jose,#N/A,95127
Julie G Duquette MD A Medical Coportation,none identified,Ancillary Care,not selected,Newport Beach,#N/A,92660
"Julie R Ohayon, MD, Prof Corp",none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92123
"JWCH Institute, Inc",none identified,Community-Based Organizations,Continuum of Care organization (CoC),Commerce,#N/A,90040
"JWCH Institute, Inc.",none identified,Community-Based Organizations,Continuum of Care organization (CoC),Commerce,#N/A,90040
Kabakibi medical corporation,none identified,Ambulatory Care Settings,Medical group,San Diego,#N/A,92130-2475
"Kaditam V. Reddy, MD, Inc.",none identified,Ambulatory Care Settings,Physician practice,Thousand Oaks,#N/A,91360
Kaiser Foundation Hospitals,"Kaiser Foundation Health Plan, Inc.",Plans,Health care service plans and disability insurer,Oakland,#N/A,94612
Kaiser Foundation Hospitals,Kaiser Foundation Hospitals,Acute Care Settings,General acute care hospital,Oakland,#N/A,94612
"Kan-Di-Ki, LLC",none identified,Ancillary Care,Clinical laboratory,LAS VEGAS,#N/A,89128-0801
"Katherine Bao-Shian Lee M.D., a Professional Corporation",none identified,Ambulatory Care Settings,Physician practice,Laguna Hills,#N/A,92653
Kaveh Bagheri MD Inc,none identified,Ambulatory Care Settings,Physician practice,La Mesa,#N/A,91942
"Kawaljeet Kaur Bhatia, M.D.",none identified,Ambulatory Care Settings,Physician practice,GILROY,#N/A,95020-3532
Kaweah Delta Health Care District,none identified,Acute Care Settings,General acute care hospital,Visalia,#N/A,93291
Kay Mukergee MD,none identified,Ancillary Care,Other ancillary care provider,Riverside,#N/A,92504
KCS Health Center,none identified,Community-Based Organizations,Other community-based service provider,Anaheim,#N/A,92805
Kedren Health,none identified,Acute Care Settings,Psychiatric hospital,Los Angeles,#N/A,90011
"Keen Medical Group, Inc",none identified,Ancillary Care,Other ancillary care provider,Hesperia,#N/A,92345
"Keith Jackson, MD, Limited",none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92123
Kelly Psychiatric Associates,none identified,Ambulatory Care Settings,Physician practice,Manhattan Beach,#N/A,90266
Kenady LLC,none identified,Community-Based Organizations,Other community-based service provider,Lake Forest,#N/A,92630
"Kenai River Holdings, LLC",none identified,Subacute Care Facility,Assisted living facility,Livermore,#N/A,94550
Kenneth Stevens MD,none identified,not selected,not selected,San Luis Obispo,#N/A,93401
"Kent A. Feldman, DPM",none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92123
Kern Behavioral Health and Recovery Services,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",Bakersfield,#N/A,93302
Kern County Hospital Authority,none identified,Acute Care Settings,General acute care hospital,Bakersfield,#N/A,93306
Kern County Public Health,none identified,Counties,Department of public health,Bakersfield,#N/A,93306
Kern Health Systems,none identified,Plans,Other plan,Bakersfield,#N/A,93308
"Kern Psychiatric Health and Wellness Center, Inc.",none identified,Ambulatory Care Settings,Medical group,Bakersfield,#N/A,93312
Kern Valley Healthcare District,none identified,Acute Care Settings,General acute care hospital,Lake Isabella`,#N/A,93240
"Kevin Khai Tieu, MD, PC",none identified,Ambulatory Care Settings,Physician practice,Fountain Valley,#N/A,92708
Key Medical Group,none identified,Ancillary Care,Other ancillary care provider,Visalia,#N/A,93277
"Kharis Powell, Ph.D.",none identified,Community-Based Organizations,Other community-based service provider,Lodi,#N/A,95240
Khurram Abbass MD INC,none identified,Ambulatory Care Settings,Physician practice,San Jose,#N/A,95116
Kids Care Pediatrics Medical Group Inc,none identified,Ambulatory Care Settings,Medical group,Anaheim,#N/A,92801
Kids Health First Pediatrics Inc.,none identified,Ambulatory Care Settings,Physician practice,La Quinta,#N/A,92253
"Kimberly S Klausner, MD",none identified,Ambulatory Care Settings,Physician practice,Los Angeles,#N/A,90067
"Kindred Healthcare Operating, LLC","KND Development 54, LLC d/b/a Kindred Hospital Riverside",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Healthcare Operating, LLC","KND Development 55, LLC d/b/a/ Kindred Hospital Rancho",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Healthcare Operating, LLC","THC - Orange County, LLC d/b/a Kindred Hospital - San Francisco Bay Area",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Healthcare Operating, LLC","THC - Orange County, LLC d/b/a Kindred Hospital - Brea",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Healthcare Operating, LLC","KND Real Estate 40, LLC d/b/a Kindred Hospital Paramount",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Healthcare Operating, LLC","KND Development 52, LLC d/b/a Kindred Hospital Baldwin Park",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Healthcare Operating, LLC","KND Development 53, LLC d/b/a Kindred Hospital South Bay",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Healthcare Operating, LLC","Southern California Specialty Care, LLC d/b/a Kindred Hospital - La Mirada",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Healthcare Operating, LLC","Southern California Specialty Care, LLC d/b/a Kindred Hospital - San Gabriel Valley",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Healthcare Operating, LLC","Southern California Specialty Care, LLC d/b/a Kindred Hospital - Santa Ana",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Healthcare Operating, LLC","THC - Orange County, LLC d/b/a Kindred Hospital Westminster",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Healthcare Operating, LLC","THC - Orange County, LLC d/b/a Kindred Hospital - San Diego",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Healthcare Operating, LLC","THC - Orange County, LLC d/b/a Kindred Hospital - Los Angeles",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Healthcare Operating, LLC","THC - Orange County, LLC d/b/a Kindred Hospital - Ontario",Acute Care Settings,General acute care hospital,Louisville,#N/A,40202
"Kindred Hospice, Inc",none identified,Community-Based Organizations,Other community-based service provider,Pacoima,#N/A,91331
King-American Ambulance,none identified,Emergency Medical Service Providers,not selected,San Francisco,#N/A,94115
Kings County Behavioral Health,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",Hanford,#N/A,93230
Kings Medical Group PC,none identified,Ambulatory Care Settings,Medical group,Hanford,#N/A,93230
Kings View,none identified,Community-Based Organizations,Other community-based service provider,Fresno,#N/A,93737
"Kishore B. Narra,M.D.",none identified,Ambulatory Care Settings,Physician practice,Fremont,#N/A,94536
"Kit Carson Nursing and Rehabilitation Center, LLC",none identified,Subacute Care Facility,Skilled nursing facility,Jackson,#N/A,95642
"KMD, LP San Marino in the Desert",none identified,Subacute Care Facility,Skilled nursing facility,Studio City,#N/A,91604
Koinonia Family Services,none identified,Community-Based Organizations,Other community-based service provider,Loomis,#N/A,95650-8921
"Korean American Medical Group, Inc.",none identified,Ambulatory Care Settings,Medical group,Cypress,#N/A,90630-0063
"Korean Health, Education, Information and Research Center",Kheir Wilshire Clinic,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90020
"Korean Health, Education, Information and Research Center",Kheir Clinic,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90020
"Korean Health, Education, Information and Research Center",Kheir Wilshire Clinic Suite 100,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90020
"Korean Health, Education, Information and Research Center",Kheir Family and Pediatric Clinic,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90020
"Korean Health, Education, Information and Research Center",Kheir Clinic-Dental & Optometry,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90020
"Korean Health, Education, Information and Research Center",Kheir Mirae Adult Day Health Care Center,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90020
"Korean Health, Education, Information and Research Center",KHEIR ADHC CENTER-VERMONT,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90020
Koreatown Youth and Community Center,none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90020
"Koreatown Youth and Community Center, Inc.",none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90020
KPC Biotech Inc,none identified,Ancillary Care,Clinical laboratory,Hemet,#N/A,92543
KPC Global Medical Centers Inc,Hemet Global Medical Center,Acute Care Settings,General acute care hospital,Hemet,#N/A,92543
KPC Global Medical Centers Inc,Hemet Global Medical Center- Sub acute unit,Acute Care Settings,Other acute care setting,Hemet,#N/A,92543
KPC Global Medical Centers Inc,Hemet Global Medical Center Hospital Laboratory,Acute Care Settings,Other acute care setting,Hemet,#N/A,92543
KPC Global Medical Centers Inc,Menifee Global Medical Center,Acute Care Settings,General acute care hospital,"Menifee,",#N/A,92585
KPC Global Medical Centers Inc,Menifee Global Medical Center Hospital Laborartory,Acute Care Settings,Other acute care setting,"Menifee,",#N/A,92585
KPC Global Medical Centers Inc,Hemet Valley Recovery Center & Sage Retreat,Acute Care Settings,Other acute care setting,Hemet,#N/A,92543
KPC Global Medical Centers Inc,Hemet Valley HealthCare Center,Subacute Care Facility,Skilled nursing facility,Hemet,#N/A,92543
Krista Care LLC,none identified,Community-Based Organizations,Other community-based service provider,Arcadia,#N/A,91007
Kristina Hobson MD Inc,none identified,Ambulatory Care Settings,Physician practice,Los Gatos,#N/A,95032
KSK Medical,Kenneth M Tokita MD INC,Ambulatory Care Settings,not selected,Irvine,#N/A,92618
KSK Medical,Procedure Center of Irvine,not selected,not selected,Irvine,#N/A,92618
KSK Medical,Imaging Center of Irvine,not selected,not selected,Irvine,#N/A,92618
KTLA Properties Limited Partnership d/b/a Alamitos West Health & Rehabilitation,none identified,Subacute Care Facility,Skilled nursing facility,Chaska,#N/A,55318
Kumara Prathipati MD. INC,none identified,Intermediaries,Health Information Exchange Intermediary Organization (HIO),San Diego,#N/A,92115
"Kyle Ragins, MD & Isabel Chen, MD",none identified,Ambulatory Care Settings,Physician practice,Manhattan Beach,#N/A,90266
La Brea Rehabilitation,none identified,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90036
LA Care Health Plan,none identified,Plans,Other plan,Los Angeles,#N/A,90017
La Clinica de La Raza,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Oakland,#N/A,94623-2210
LA EYE CENTER & CLINIC,none identified,Ancillary Care,Other ancillary care provider,Los Angeles,#N/A,90037
LA Jewish Health,none identified,Acute Care Settings,Other acute care setting,reseda,#N/A,91335
"La Jolla Cove Holdings, LLC",none identified,Subacute Care Facility,Assisted living facility,Livermore,#N/A,94550
La Luz Center,none identified,Community-Based Organizations,Other community-based service provider,Sonoma,#N/A,95476
La Maestra Community Health Centers,none identified,Community-Based Organizations,Other community-based service provider,San Diego,#N/A,92105
LA Pain,none identified,Ambulatory Care Settings,Physician practice,Los Angeles,#N/A,90035
La Palma Nursing Center,none identified,Subacute Care Facility,Skilled nursing facility,Anaheim,#N/A,92801
La Peer Pediatrics,none identified,Ambulatory Care Settings,Physician practice,Beverly Hills,#N/A,90211
La Puente Adult Day Health Care,none identified,Community-Based Organizations,not selected,La Puente,#N/A,91744
Lab24 LLC,none identified,Acute Care Settings,Other acute care setting,Redding,#N/A,96002
"LAB24, LLC",none identified,Ancillary Care,Clinical laboratory,Redding,#N/A,96002
Laboratory Corporation of America Holdings,Dianon Systems Inc,Ancillary Care,Clinical laboratory,Shelton,#N/A,6484
Laboratory Corporation of America Holdings,Dianon Systems Inc Oklahoma City,Ancillary Care,Clinical laboratory,Oklahoma City,#N/A,731043616
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,West Hills,#N/A,913072741
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,Vallejo,#N/A,94591-7101
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,Aurora,#N/A,80016-5954
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,Burlington,#N/A,272153361
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,RTP,#N/A,277090150
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,RTP,#N/A,277090153
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,RTP,#N/A,277090153
Laboratory Corporation of America Holdings,Labcorp of America Holdings,Ancillary Care,Clinical laboratory,Cary,#N/A,27519-5545
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,Chapel Hill,#N/A,27154-9743
Laboratory Corporation of America Holdings,Labcorp of America Holdings,Ancillary Care,Clinical laboratory,Cary,#N/A,27519-8337
Laboratory Corporation of America Holdings,Esoterix Inc,Ancillary Care,Clinical laboratory,Englewood,#N/A,801127116
Laboratory Corporation of America Holdings,Litholink Corporation,Ancillary Care,Clinical laboratory,Itasca,#N/A,601432091
Laboratory Corporation of America Holdings,Center for Disease Detection LLC,Ancillary Care,Clinical laboratory,San Antonio,#N/A,782336005
Laboratory Corporation of America Holdings,Sequenom Ctr for Molecular Medicine,Ancillary Care,Clinical laboratory,San Diego,#N/A,921211121
Laboratory Corporation of America Holdings,Personal Genome Diagnostics Inc,Ancillary Care,Clinical laboratory,Baltimore,#N/A,21224-5729
Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC,Ancillary Care,Clinical laboratory,Newport Coast,#N/A,92657-1212
Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories,Ancillary Care,Clinical laboratory,Shelton,#N/A,64846122
Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC Westborough,Ancillary Care,Clinical laboratory,Westborough,#N/A,15811771
Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC Santa Fe,Ancillary Care,Clinical laboratory,Santa Fe,#N/A,875055600
Laboratory Corporation of America Holdings,Esoterix Genetic Laboratory,Ancillary Care,Clinical laboratory,New york,#N/A,100192901
Laboratory Corporation of America Holdings,Accupath Diagnostic Laboratories Inc,Ancillary Care,Clinical laboratory,Phoenix,#N/A,850402969
Laboratory Corporation of America Holdings,Accupath Diagnostic Laboratories Inc,Ancillary Care,Clinical laboratory,Brentwood,#N/A,370274645
Laboratory Corporation of America Holdings,ViroMed Laboratories Inc,Ancillary Care,Clinical laboratory,Burlington,#N/A,272153361
Laboratory Corporation of America Holdings,Medical Neurogenetic LLC,Ancillary Care,Clinical laboratory,Atlanta,#N/A,303421342
Laboratory Corporation of America Holdings,Medtox Laboratories Inc,Ancillary Care,Clinical laboratory,Saint Paul,#N/A,551123522
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,Phoenix,#N/A,850402969
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,Riverside,#N/A,925077414
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,Monrovia,#N/A,910166353
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,Los Angeles,#N/A,900153349
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,Los Angeles,#N/A,900641748
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,Walnut Creek,#N/A,945982415
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,Itasca,#N/A,601432091
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,San Antonio,#N/A,782336003
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,Seattle,#N/A,981225789
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,Mount Vernon,#N/A,982744004
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,Spokane,#N/A,992043614
Laboratory Corporation of America Holdings,Laboratory Corporation of America,Ancillary Care,Clinical laboratory,Spokane,#N/A,99203-1434
Laboratory Corporation of America Holdings,Monogram Biosciences Inc,Ancillary Care,Clinical laboratory,SOUTH SAN FRANCISCO,#N/A,940801913
Laboratory Corporation of America Holdings,Monogram Biosciences Inc,Ancillary Care,Clinical laboratory,SOUTH SAN FRANCISCO,#N/A,940801913
Laboratory Corporation of America Holdings,National Genetics Institute,Ancillary Care,Clinical laboratory,Los Angeles,#N/A,900641748
Laboratory Corporation of America Holdings,National Genetics Institute,Ancillary Care,Clinical laboratory,Los Angeles,#N/A,900641809
Laboratory Corporation of America Holdings,Esoterix Inc,Ancillary Care,Clinical laboratory,Calabasas Hills,#N/A,913015358
Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC Santa Fe,Ancillary Care,Clinical laboratory,Santa Fe,#N/A,875055600
Laboratory Corporation of America Holdings,Medtox Laboratories Inc,Ancillary Care,Clinical laboratory,Saint Paul,#N/A,551123522
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,San Diego,#N/A,921284108
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,San Diego,#N/A,921284108
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,Tustin,#N/A,927802908
Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,San Leandro,#N/A,945771121
"Laguna Beach Community Clinic, Inc.",none identified,Ambulatory Care Settings,Health center program look-alikes,Laguna Beach,#N/A,92657
"Lake Balboa Health Care, Inc.",none identified,Subacute Care Facility,Skilled nursing facility,Van Nuys,#N/A,91406
Lake County Behavioral Health Services,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",Lucerne,#N/A,95458
Lake County Fire Protection District,none identified,Emergency Medical Service Providers,not selected,Clearlake,#N/A,95422
Lake Elsinore Clinica Medica Familiar,PERRIS VALLEY PHYSICIANS ASSOCIATES,Ambulatory Care Settings,Physician practice,perris,#N/A,92570
Lake Elsinore Clinica Medica Familiar,Hesperia Clinica Medica Familiar,Ambulatory Care Settings,Physician practice,Hesperia,#N/A,2345
Lake Elsinore Clinica Medica Familiar,COLTON CLINICA MEDICA FAMILIAR,Ambulatory Care Settings,Physician practice,Colton,#N/A,92324
Lake Elsinore Clinica Medica Familiar,BEAR VALLEY CLINICA MEDICA FAMILIAR,Ambulatory Care Settings,Physician practice,victorville,#N/A,92395
Lake Health District,none identified,not selected,not selected,Lakeview,#N/A,97630
Lakeview Terrace Skilled Nursing Facility,none identified,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90057
Lakewood Healthcare Center,none identified,Counties,Department of public health,Downey,#N/A,90242
Lance Steinberg MD Inc,none identified,Community-Based Organizations,Continuum of Care organization (CoC),Calabasas,#N/A,91302
"Landmark Healthplan of California, Inc.",none identified,Plans,Health care service plans and disability insurer,Westlake Village,#N/A,91361
Landmark Medical Center,none identified,Subacute Care Facility,Other long term care facility,Pomona,#N/A,91767
"Landmark Medical of California, PC",none identified,Ambulatory Care Settings,Physician practice,Huntington Beach,#N/A,92647
LaPortaCare,none identified,Intermediaries,Health Information Exchange Intermediary Organization (HIO),CUPERTINO,#N/A,95014
Larchmont Pediatrics,none identified,Ambulatory Care Settings,Physician practice,Los Angeles,#N/A,90004
LAS AMERICAS MEDICAL CLINIC,none identified,Ambulatory Care Settings,Physician practice,arleta,#N/A,91331
Las Flores Conv Hospital,none identified,Subacute Care Facility,Skilled nursing facility,Gardena,#N/A,90249
LaSalle Medical Associates,none identified,Ambulatory Care Settings,Physician practice,Redlands,#N/A,92373
"Laser Eye Care of California, LLC","Thomas S. Tooma, M.D., a Professional Corporation",Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC","Alvarado Eye Associates Medical Clinic, Inc.",Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC","H Douglas Cooper MD, Inc.",Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC",Clarity Eye Group,Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC","Sanford G. Feldman, M.D., Inc.",Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC","Jeffrey V. Winston, M.D., a Professional Corporation",Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC","Gabriel Jacob, M.D., a Medical Corporation",Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC","Luis A. Chanes, M.D., Inc. d/b/a Eye Associates of Orange County",Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC","Auburn Eye Care Associates Optometry, a California Professional Optometric Corporation",Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC","East-West Eye Institute, a Medical Corporation",Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC","Miramar Eye Specialists Medical Group, Inc",Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC","Meister Eye & Laser Center a Medical Group, Inc.",Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC","Colin B. Arnold, M.D., Inc.",Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC",Bay Area Ophthalmic Medical Corp. d/b/a Turner Eye Institute,Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
"Laser Eye Care of California, LLC","SALEHI RETINA INSTITUTE, INC. (CA PC) dba Retina Associates of Southern California",Ambulatory Care Settings,not selected,ALISO VIEJO,#N/A,92656
Lassen County Behavioral Health,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",Lassen,#N/A,96130
